"U.S. AMERICAN 
LIFT-SERVED 
Bromont,Canada - Quebec,"1,175",,,450,210­,,,Independent,,,,,,Mountain Collective,MC 2,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Camp Fortune,Canada - Quebec,627,,,95,118,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Le Massif du Charlevoix,Canada - Quebec,"2,526",118,"2,645",406,254,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7 | Base 5B | Session B, MC 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Massif du Sud,Canada - Quebec,"1,312",,,300,236,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Mont Rigaud,Canada - Quebec,394,,,159,59,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Mont-Sainte Anne,Canada - Quebec,"2,050",,,547,209,,,Resorts of the Canadian Rockies,1994,,,,,Epic,Epic 7 | Day All 4+,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Mont Tremblant,Canada - Quebec,"2,116",,,755,192,,,Alterra ,2017,,,,,Ikon,Ikon/Base U | Session B,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Stoneham,Canada - Quebec,"1,132",,,336,169,,,Resorts of the Canadian Rockies,1998,,,,,Epic,Epic 7 | Day All 4+,Yes,,,No,Yes,,,,,,,,,,,,,,,,
EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandvalira,Europe - Andorra,"3,312",,,"7,599",N/A,,,Independent,,,,,,Ikon,Ikon 7 | Base 5,Yes,,,No,Yes,,,,,,,,,,,,,,,,
AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ischgl,Europe - Austria,"4,904",,,239 km,N/A,,,Independent,,,,,,Ikon,Ikon 7 | Base 5,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Innsbruck Resorts,Europe - Austria,N/A,,,310 km,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Kitzbühel,Europe - Austria,"3,937",,,"1,421",N/A,,,Independent,,,,,,Ikon,Ikon 7 | Base 5,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Rauriser-Hochalmbahnen,Europe - Austria,"4,137",,,32.5 km,N/A,,,Independent,,,,,,Indy,,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Ski Arlberg,Europe - Austria,"5,056",,,304 km,355,,,Independent,,,,,,Epic,Epic 3CLo,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Ski Welt,Europe - Austria,"4,032",,,288 km,118,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
CZECH REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malá Úpa,Europe -Czech Republic,853,,,3.6 km,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
ENGLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Snow Centre,Europe - England,N/A,,,N/A,Indoor,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Trafford City Snow Centre,Europe - England,N/A,,,N/A,Indoor,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Plagne,Europe - France,"6,253",,,225 km,,,,Compagnie des Alps,,,,,,Left Epic,,,,,,,,,,,,,,,,,,,,,,
Les Arcs,Europe - France,"6,647",,,,,,,Compagnie des Alps,,,,,,Left Epic,,,,,,,,,,,,,,,,,,,,,,
Peisey Vallandry,Europe - France,"5,249",,,,,,,Compagnie des Alps,,,,,,Left Epic,,,,,,,,,,,,,,,,,,,,,,
Les 3 Vallées,Europe - France,"6,988",,,600 km,N/A,,,Compagnie des Alps,,,,,,Epic,Epic 7C,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Chamonix,Europe - France,"9,209",,,"29,405",264,,,Compagnie des Alps,,,,,,"Ikon, Mountain Collective","Ikon 7 | Base 5, MC 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Megève,Europe - France,"4,265",,,"1,975",121,,,Compagnie des Alps,,,,,,Mountain Collective,MC 2,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Tignes,Europe - France,"6,234",,,,,,,Compagnie des Alps,,,,,,Left Epic,,,,,,,,,,,,,,,,,,,,,,
Val d’Isère,Europe - France,"5,269",,,,,,,Compagnie des Alps,,,,,,Left Epic,,,,,,,,,,,,,,,,,,,,,,
ITALY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolomiti Superski,Europe - Italy,"5,954",,,"29,652",N/A,,,Independent,,,,,,Ikon,Ikon 7 | Base 5,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Pila,Europe - Italy,"3,097",,,70 km,28,,,Independent,,,,,,Indy,,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Skirama Dolomiti,Europe - Italy,"5,689",,,150 km,110,,,Independent,,,,,,Epic,Epic 7C,Yes,,,No,Yes,,,,,,,,,,,,,,,,
SCOTLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glencoe,Europe - Scotland,"2,329",,,494,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
SPAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baqueria Beret,Europe - Spain,"3,640",,,165 km,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Masella,Europe - Spain,"3,068",,,N/A,N/A,,,Independent,,,,,,Freedom,Freedom 3,Yes,,,No,Yes,,,,,,,,,,,,,,,,
SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andermatt-Sedrun,Europe - Switzerland,"5,269",,,120 km,263,,,Vail Resorts,2022,,,,,Epic,Epic U | Local 5S | Day All,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Crans-Montana,Europe - Switzerland,"5,518",,,N/A,117,,,Vail Resorts,2023,,,,,Epic,Epic U | Local 5 | Day All,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Disentis,Europe - Switzerland,N/A,,,N/A,263,,,Independent,,,,,,Epic,Epic U | Local 5S | Day All,Yes,,,No,Yes,,,,,,,,,,,,,,,,
St. Moritz,Europe - Switzerland,"4,941",,,"86,487",369,,,Independent,,,,,,Ikon,Ikon 7 | Base 5,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Verbier 4 Vallées,Europe - Switzerland,"8,232",,,410 km,240,,,Independent,,,,,,Epic,Epic/Local 5C,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Zermatt,Europe - Switzerland,"7,477",,,"3,500",138,,,Independent,,,,,,Ikon,Ikon 7 | Base 5,Yes,,,No,Yes,,,,,,,,,,,,,,,,
TURKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erciyes,Europe - Turkey,"4,227",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
JAPAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tazawako,Japan (Akita),"1,995",,,247,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
GUNMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palcall Tsumagoi,Japan (Gunma),"2,395",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
GIFU ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynaland Ski Resort,Japan (Gifu),"1,467",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hirugano Kogen,Japan (Gifu),492,,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Takasu Snow Park,Japan (Gifu),"1,969",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Washigatake,Japan (Gifu),"1,440",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
White Pia Takasu,Japan (Gifu),"1,509",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
HOKKAIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamui Ski Links,Japan (Hokkaido),"1,972",,,247,315,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Kiroro,Japan (Hokkaido),"2,752",,,297,709,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Nayoro Piyashiri,Japan (Hokkaido),"1,575",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Niseko United,Japan (Hokkaido),"3,438",,,"2,889",590,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7 | Base 5B | Session B, MC 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Pippu,Japan (Hokkaido),984,,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Rusutsu,Japan (Hokkaido),"1,949",,,"1,378",600,,,Independent,,,,,,Epic,Epic/Local 5C,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Yubari (Mount Racey),Japan (Hokkaido),"1,083",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
IWATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amihari,Japan (Iwate),"2,329",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Geto Kogen,Japan (Iwate),"1,410",,,N/A,590,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Okunakayama Kogen,Japan (Iwate),"1,273",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Shimokura,Japan (Iwate),"1,804",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
NAGANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Able Hakuba Goryu,Japan (Nagano),"2,382",,,N/A,433,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hakuba 47,Japan (Nagano),"2,605",,,N/A,472,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hakuba Cortina,Japan (Nagano),"1,739",,,124,472,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hakuba Happo-One,Japan (Nagano),"3,514",,,544,461,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hakuba Iwatake,Japan (Nagano),"1,768",,,297,433,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hakuba Norikura,Japan (Nagano),"1,969",,,N/A,433,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hakuba Sanosaka,Japan (Nagano),"1,214",,,N/A,394,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Jiigatake,Japan (Nagano),899,,,N/A,N/A,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Kashimayari,Japan (Nagano),"2,362",,,193,374,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Madarao,Japan (Nagano),"1,444",,,N/A,512,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Tangram Ski Circus,Japan (Nagano),"1,706",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Togakushi,Japan (Nagano),"1,706",,,59,299,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Tsugaike,Japan (Nagano),"2,966",,,484,512,,,Independent,,,,,,Epic,Epic/Local 5SC,Yes,,,No,Yes,,,,,,,,,,,,,,,,
NIIGATA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arai Mountain Resort,Japan (Niigata),"3,121",,,528,N/A,,,Independent,,,,,,Ikon,Ikon 7 | Base 5,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Cupid Valley Ski Resort,Japan (Niigata),"1,739",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Maiko Snow Resort,Japan (Niigata),"2,165",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Muica Snow Resort,Japan (Niigata),"1,312",,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Ninox Snow Park,Japan (Niigata),709,,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Yuzawa Nakazato,Japan (Niigata),801,,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
TOHUKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ani Ski Resort,Japan (Tohuku),"2,175",,,N/A,299,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Aomori Spring,Japan (Tohuku),"1,788",,,N/A,600,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
CHILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corralco,Chile,"2,821",,,"2,475",354,,,Independent,,,,,,Indy,,,,,,,,,,,,,,,,,,,,,,
La Parva,Chile,"3,022",,,"1,977",300,,,Mountain Capital Partners,2024,,,,,Power,Power/Select 10S-25,Yes,,,No,Yes,Yes,,,,,,,,,,,,,,,
Valle Nevado,Chile,"2,658",,,"2,400",240,,,Mountain Capital Partners,2023,,,,,"Power, Ikon, Mountain Collective","Ikon 7-2526 | Base 5-2526 | Session, Power/Select 10S-25, MC 2",Yes,,,No,Yes,Yes,,,,,,,,,,,,,,,
AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falls Creek,Australia,"1,247",,,"1,112",157,,,Vail Resorts,2019,,,,,Epic,Epic U25,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hotham,Australia,"1,296",,,605,118,,,Vail Resorts,2019,,,,,Epic,Epic U25,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Mt. Buller,Australia,"1,312",,,741,126,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7-2526 | Base 5-2526 | Session, MC 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Perisher,Australia,"1,165",,,"3,076",190,,,Vail Resorts,2015,,,,,Epic,Epic U25,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Thredbo,Australia,"2,205",,,"1,186",78,,,Independent,,,,,,Ikon,Ikon 7-2526 | Base 5B-2526,Yes,,,No,Yes,,,,,,,,,,,,,,,,
NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronet Peak,New Zealand,"1,515",,,692,79,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7S-2526 | Base 5S-2526 | Session, MC 2S",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Mt. Hutt,New Zealand,"2,241",,,902,157,,,Independent,,,,,,Ikon,Ikon 7S-2526 | Base 5S-2526 | Session,Yes,,,No,Yes,,,,,,,,,,,,,,,,
The Remarkables,New Zealand,"1,535",,,951,146,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7S-2526 | Base 5S-2526 | Session, MC 2S",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Tūroa,New Zealand,"2,369",,,"1,236",N/A,,,Independent,,,,,,,,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Whakapapa,New Zealand,"2,264",,,"1,359",N/A,,,Independent,,,,,,,,Yes,,,No,Yes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
